,report,institute,category
0,"Saya warga perumahan villa mutiara pluit blok a1 , periuk, tangerang , memohon pihak pln kota tangerang untuk meninjau ulang posisi gardu untuk perumahan kami. 
memang di kecamatan kami sering terjadi bencana banjir yang hampir terjadi setiap tahunnya, namun perumahan kami yang notabene menjadi posko, dapur umum dan pengungsian masih menginduk di gardu yang berlokasi di daerah banjir tersebut, sedangkan masih ada jalur di perkampungan yang lebih dekat dan hampir tidak ada masalah. kami mohon ditinjau ulang lokasi gardu dilokasi rawan banjir tersebut kalau bisa daerah yang tidak terdampak banjir bisa dipindahkan jalurnya. pada kondisi seperti ini saya rasa masih diperlukan listrik untuk keperluan , ekonomi dan pendidikan dilokasi kami. kami mohon kebijaksanaannya. terimakasih.",Divisi Pemasaran dan Pelayanan Pelanggan,  Lainnya terkait Energi dan Sumber Daya Alam
1,"Angelinaittapak @hendrarprihadi got di jalan bendungan raya yg jalan 1 arah itu sekarang jadi dangkal (air ga mengalir). ketika ada penyapu jalan, saya memergoki dimasukkan sampahnya ke got itu (sblmnya ga dangkal, dan itu alirannya ke sungai langsung). saya smpt protes agar sampah ga dimasukkan ke got, tp sama penyapu jalan tsbt dibilang bukan urusannya tp urusan pu. kok dilempar2 ya pak. mohon ditindak pak. itu kalo ujan lagi bisa bikin banjir krn dangkal dan ga mengalir airnya ke sungai",Dinas Lingkungan Hidup Kota Semarang,  Pencemaran Lingkungan
2,"Laporhendi pak hendi saya ibu mona warga jl kalicari timur no 24,kelurahan pelebon kec pedurungan semarang timur, hal yang saya ingin sampaikan begini  pak, ditempat saya tinggal ini belakang rumah ada tanah kosong yang cukup luas, tidak tau siapa yg punya tanah itu tidak dirawat selama bertahun tahun sehingga byk pohon dan rumput tumbuh tinggi sampai naik ke atap rumah warga bagian belakang ,beberapa kali ular masuk le rumah saya dan tetangga kanan kirikami, ini sangat mengkhawatirkan pak, dan karena tanah tersebut jeglong, rumah sering  banjir karena air belakang  rumah menggenang pak, saya bingung maulaporan kemana, saya beranikan sms ke sini ,tolong ya pak hendi terimakasih atas perhatiannya pak, sukses dan sehat selalu",Kecamatan Semarang Timur Kota Semarang,  Pertanahan
3,"Tolong perhatiannya segera, sudah sekitar hampir 5th saya tinggal didaerah kp kadu curug kab. tangerang, jalan gg daerah rumah saya rusak, mohon perhatiannya. untuk beberapa titik daerah industri sini juga sering banjir, sulit dilalui kendaraan motor, rumah ada yg terendam, mungkin bisa diperbesar saluran air, lalu jalannya dibuat lebih tinggi, terimakasih.",Kecamatan Curug Kabupaten Tangerang,  Lainnya terkait Pembangunan Desa dan Daerah Tertinggal
4,"Yth. bapak/ibu
apakah ada bantuan yang diturunkan/diberikan lgsg baik moril maupun material utk para korban bencana banjir bandang yg terjadi pada hari jum'at 29 januari 2021 terutama bagi saya salah satu korban bencana banjir yg sudah tinggal 40thn di jl. a. yani no. 88, dimana rumah juga seisinya habis total diterjang bandang, alhamdulillah bersyukur seluruh keluarga saya masih dalam perlindungan allah swt. sepengetahuan saya selama ini saya lihat belum ada bantuan dari dprd/pemkab jember, hanya bantuan dari perorangan dan instansi tertentu saja.
mohon diperhatikan masyarakatnya dan mohon dibantu utk diplengseng/di pondasi tinggi, kuat sehingga aman bagi masyarakat yg tinggal di belantara sungai bedadung",BADAN PENANGGULANGAN BENCANA DAERAH KABUPATEN JEMBER,  Topik Lainnya
5,"Halo,selamat pagi/siang atau malam,saya ingin melaporkan mengenai banjir yang melanda kota bekasi.tolong pemko bekasi untuk mengatasi banjir ini,karena hampir setiap tahun selalu terjadi banjir.tolong segera ditindaklanjuti kembali karena setiap hujan deras,kami warga bekasi langsung was-was.sekian terimakasih",Badan Penanggulangan Bencana Daerah Kota Bekasi,  Banjir
6,"Mohon segera ditindak lanjuti, mati lampu sejak sabtu, 20 februari pukul 10.00 hingga saat ini minggu, 21 februari pukul 07.25 masih belum nyala. padahal tdk terdampak banjir",Divisi Pemasaran dan Pelayanan Pelanggan,  Listrik
7,"Sudah setiap tahun terjadi banjir di perumahan papanmas, Desa Mangun Jaya, Kecamatan Tambun Selatan Kabupaten Bekasi 17510.
perkaranya hanya air kali yang meluap ke jalan. 

bertahun-tahun tak kunjung ada solusi dari pemerintah, selama jadi warga tambun yang saya ingat hanya 1x di keruk kalinya untuk sedimentasi, dan hanya pada tahun tersebut tidak terjadi banjir selain karena baru di keruk dan intensitas hujan juga tidak tinggi lalu tidak ada kirimin air banjir dari kalimalang. 

namun setelah ituh tahun tahun berikutnya selalu diwarnai dengan banjir.

apa tidak mampu kah pemerintah kabupaten bekasi menganggarkan perencanaan untuk menyelesaikan permasalahan banjir di wilayah kami? 

kenapa tidak di buat pintu air di kalimalang yang mampu di tutup ketika intensitas hujan tinggi dan air kalimalang penuh, sehingga memberikan waktu untuk air limpasan hujan di perumahan"" mengalir ke sungai cbl dulu semua baru di buka pintu penutupnya sehingga air bisa mengalir semua ke sungai cbl, dan tolong normalisasi aliran di kali tambun karena jika di amati semakin kearah graha prima dan seterusnya lebar badan kali semakin mengecil tolong bantu untuk hal tersebut. 

tidak tau apa hal ini yg saya laporkan di baca atau tidak, setidaknya da pergerakan lah, jangan cuma karena kecamatan paling jauh dari pusat kabupaten bekasi lalu di anaktirikan. 

terima kasih",Dinas Lingkungan Hidup Kabupaten Bekasi,  Pencemaran Lingkungan
8,"Saya ingin memberitahukan bahwa di kawasan tinggal saya poris indah blok e, jalan palem 11 bahkan sampai jalan palem raya hingga kawasan jalan pinus-indomaret depan sering sekali terjadi banjir. pembangunan got yang lebih tinggi daripada badan jalan di jalan palem raya membuat jalanan lebih sering tergenang banjir. air tidak mengalir dengan cepat. asal 10-15 menit hujan pasti kebanjiran. ada juga rumah-rumah yang belum ditinggikan. apakah pemerintah tidak mengkhawatirkan kita tersengat listrik ketika banjir. banyak juga pengaduan masyarakat mengenai hal ini selama bertahun-tahun namun tidak kunjung dibuat sistem drainase yang mumpuni membawa aliran air dengan cepat. atau buatkan juga lubang-lubang biopori agar air tidak semua masuk ke dalam got. begitupun terjadi di blok c. saya sudah lapor ke tangeranglive juga kasus diselesaikan namun pengerjaan drainase belum dilakukan. terimakasih semoga pengaduan kami didengar serta ditindaklanjuti",LAKSA Kota Tangerang,  Banjir
9,"Selamat siangmohon bantuannya untuk banjir dijalan karet sawah 1, karet semanggi, setiabudi, jakarta selatan ,12940tolong1  pintu air kali ciliwung lama di buka pak,karena banjir kanal barat sdh tdk bisa menampung air lagi, air sdh sangat tinggi masuk ke tempat kami, sdh level sangat berbahaya lebih dari 60mohon diinfokan ke operator :1. buka ciliwung lama 2252. buka los pintu no 2 istiqla3. flushing tambah bukaan menjadi 60terima kasih",Pemprov DKI 2,  Banjir
0,"Tolong dibantu, om & tante saya (sdh sepuh) terjebak dirumah, tdk bisa kluar rumah, krn banjirnya nyaris setinggi org, mrk skrg ada dilantai 2, dirumah gak ada makanan, minuman, mhn dibantu evakuasi",Badan Penanggulangan Bencana Daerah Kota Bekasi,  Penanggulangan Bencana
1,Mohon kirim bantuan berupa sandang pangan dan boat ke daerah jatimurni bekasi,Badan Penanggulangan Bencana Daerah Kota Bekasi,  Penanggulangan Bencana
2,"Kepada yth : kepala instansi terkait 

perihal pengaduan banjir di cileungsi bogor jawa barat 
tepatnya di perum pondok damai cileungsi kidul bogor jawa barat kami sebagai masyarakat memohon untuk diterjunkan tim terkait untuk membantu antisipasi banjir dan membantu para masyarakat sekitar",Badan Penanggulangan Bencana Daerah,  Penanggulangan Bencana
3,"Tolong rumah saya banjir setinggi leher orang dewasa. jl puri mutiara v, cilandak timur. jeruk purut",Pemprov DKI 2,"  Lainnya terkait Ketenteraman, Ketertiban Umum, dan Pelindungan Masyarakat"
4,"Selamat sore kami warga semanan menanyakan ijin dari green royal semanan. (Jl. H. Aseni Raya No.88-89, RT.10/RW.8, Semanan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850) karena kami disekitar pembangunan tidak pernah diajak pembahasan andal atas pembangunan tersebut. karena kami sudah terganggu atas pengurukan yang dilakukan oleh pengembang seperti debu, jalan licin sehingga mengakibatkan kecelakaan, saluran air yang dibendung untuk melintas truk yang mengakibatkan air tidak lancar dan mengakibatkan banjir. kami memohon agar pembangunan dan menguruk yah agar distop dulu sampai dengan ijin sudah keluar sesuai aturan yang berlaku. dan mohon tindak oknum yang bermain atas pembangunan ini yang berakibat merugikan kami warga sekitar. kami mohon bapak gubernur dapat menindak...terima kasih",Pemprov DKI 2,  Lainnya terkait Lingkungan Hidup dan Kehutanan
5,"Mohon solusinya untuk permasalahan perum. margahayu jaya bekasi timur 17113, dimana perumahan ini selalu banjir ketika musim hujan datang. sehingga menyebabkan kerugian materiil dan selalu dilanda kecemasan.",Badan Penanggulangan Bencana Daerah Kota Bekasi,  Drainase (Gorong-Gorong/Parit)
6,"Tolong pak, untuk perumahan duta kranji bintara terjadi banjir, ketinggian antara 30-100cm",Badan Penanggulangan Bencana Daerah Kota Bekasi,  Banjir
7,"Yth bpk gub.jateng ganjar pranowo, walikota smg pak hendy dan kadinas kawasan industri jateng. mengingat begitu pentingnya kawasan industri terboyo sebagai pusat industri ekspor dan domestik, yg menyerap ribuhan tenaga kerja maka infrastruktur mohon diperhatikan.hal ini utk mencegah investor asing pindah/bangkrut krn banjir dan jln rusak yg mengganggu produktivitas. contoh potras mebel dan garmen pindah lokasi krn banjir rob/hujan dan jln kaligawe seringmacet. utk itu mohon pemerintah jateng khususnya smg pembangunan lebih diprioritas ke kawasan industri utk mempertahankan investor dan menarik minat investor baru. suwun",Dinas Pekerjaan Umum Bina Marga dan Cipta Karya,  Infrastruktur Jalan
8,Kpd yth gubernur dki jakarta . saya ingin melaporkan dampak atas pembangunan yang dilakukan oleh green royal semanan. dikarenakan dalam pelaksanaan pekerjaan kali diuruk untuk melintas alat2 berat. sehingga mengakibatkan terhambatnya air yang mengalir sehingga banjir di hulu aliran kali. kami dari warga berdampak banjir karena saluran air yah diuruk oleh pihak pengembang. kami mohon kepada pihak terkait dapat menindaklanjuti apakan ijin pembangunan dan sesuai dengan aturan dan memiliki analisis dampak lingkungan. perhatikan gambar yang ditunjukkan dengan warna biru. terima kasih kepada bapak gubernur . semoga selalu sehat terus,Pemprov DKI 2,  Penanggulangan Bencana
9,"Kpd yth bpk gub.jateng, bpk walkot smg, kadinas pu dan kadinas perhub.jateng. lapor, paska banjir smg byk jln rusak berlubang di jln kaligawe mohon segera di tambal. penyakit klasik di jln kaligawe klu tdk banjir macet. masyarakat merasa jenuh dan prehatin seolah2 tdk ada penanganan yg serius. byk jln sbgahaya utk penyeberang jln dan letak pompa sringin yg tdk tepet. demikianai ikon kota smg yg kualitasnya kurang bagus yaitu jln gombel lama yg bergelombang, jln kaligawe yg terkenal banjir dan macet, flyover jatingaleh yg berb",Dinas Pekerjaan Umum Bina Marga dan Cipta Karya,  Infrastruktur Jalan
0,"Yth. kepala dinas pu
kabupaten bantul

mohon ijin melaporkan bahwa kami warga masyarakat tengulan rt 8 dukuh cembing, trimulyo, jetis, bantul yang kebetulan juga ditunjuk sebagai kampung kb kabupaten bantul mengeluhkan hal-hal sebagai berikut:
1. akses jalan dari dan menuju kampung kami yang menjadi akses aktifitas sehari-hari belum mendapatkan pembangunan jalan sejak lama. saat ini masih berupa jalan berbatu, belum dibangun bangket/penyangga jalan, belum aspal dan belum ada penerangan.
2. akses jalan menuju jl imogiri timur yang dihubungkan melalui jembatan kali code yang telah ambruk dari tahun 2018 karena banjir besar dan hingga saat ini belum dilakukan pembangunan kembali.
3. akses jaringan provider belum dapat menjangkau daerah kami dengan baik. baik provider dengan jaringan pasca bayar maupun provider nirkabel prabayar.
4. mohon perhatian pemerintah atas permasalahan tersebut, dikarenakan akses infrastruktur dan jaringan informasi merupakan hal utama yang mendukung akses perekonomian masyarakat
demikian kami sampaikan, atas perhatian dan perkenannya diucapkan terima kasih.

hormat kami,
a.n. masyarakat tengulan","Dinas Pekerjaan Umum, Perumahan dan Kawasan Permukiman",  Infrastruktur Jalan
1,"Assalamualaikum bapak presiden yang terhormat, saya disini ingin menyampaikan pengaduan masyarakat khususnya yang sering dilanda kebanjiran. saya mengajukan permohonan kepada bapak presiden untuk segera membuat atau melakukan kerjasama dengan pt pengolahan sampah limbah manusia. karena sering terjadi banjir di beberapa wilayah indonesia yang di akibatkan dari limbah sampah masyarakat di sungai, mohon secepatnya untuk mendatangkan pt pengolahan limbah sampah agar tidak terjadi kebanjiran yang diakibatkan dari tertumpuknya sampah di sungai sungai. terimakasih",Kantor Staf Presiden,  Penanggulangan Bencana
2,"Selamat malam Bapak Ibu
Saya ingin meminta bantuan kembali untuk pembersihan sampah di gorong-gorong jembatan sungai dekat perumahan kami, yaitu Perumahan Graha Prima - Kelurahan Mangunjaya - Kecamatan Bekasi. Kondisinya sampah menumpuk di gorong-gorong jembatan mengakibatkan arus sungai terhambat dan bisa mengakibatkan banjir.
Sampah yang menumpuk sangat tidak masuk akal, dari batang pohon sampai kursi tamu. Kami mohon bantuan dari Bapak Ibu dari Dinas terkait Kementerian Lingkungan Hidup untuk membantu mengangkut sampah-sampah tersebut.
Terimakasih",Dinas Lingkungan Hidup Kabupaten Bekasi,  Pencemaran Lingkungan
3,"Selamat sore bapak gubernur dki jakarta, semoga selalu sehat selalu.. saya hanya ingin menanyakan tindak lanjut atas surat yang kami sampaikan berkaitan dampak yang atas pembangunan citra kepada warga kami. berikut kami sampaikan surat yang telah diterima olah pihak balaikota dan dampak yang terjadi yaitu banjir dikarenakan saluran kami mengecil mohon ditindaklanjut...",Pemprov DKI 2,  Penanggulangan Bencana
4,"Pak, tolong diperhatikan lingkungan di jl ratu anggrek 1 perumahan taman ratu duri kepa kebon jeruk jakarta barat.",Pemprov DKI 2,  Banjir
5,"assalamualaikum pak. selamat malam
maaf mengganggu. mau lapor pak jalan dari arah terminal mangkang samapi depan bri tugu  sangat parah pak. lubang di mana-mana pak.

Jalan di depan SD Wonosari 1 juga sangat parah pak.  sudah banyak korban pak, karna jalan belum ada perbaikan, saya juga hampir jatuh pak karena jalanan yg berlubang.  Jembatan irigasi.juga besi dalamnya sudah mulai kelihatan lubang. Udah lama sebelum banjir pak kalo hujan turun tidak kelihatan karena genangan air. 

Tolong pak untuk segera di perbaiki. Terima kasih.",Direktorat Jenderal Bina Marga,  Jalan Berlubang
6,"Kepada yth pemerintah kota bekasi, sebagai warga jatibening kompleks a.l, pondokgede bekasi, saya ingin melaporkan ketidaknyamanan dan ketidakamanan sebagai warga dikarenakan adanya tawuran di situasi covid 19 sekarang, dimana keadaan tersebut pada saat setelah hujan dan sedang banjir, serta terlihat anak anak yang terlibat tidak menggunakan protokol kesehatan seperti masker, yang dimana sangat berbahaya bagi penyebaran virus corona. saya mohon dapat diberikan solusi dan tindak secara tegas dan disiplin bagi pelanggar tersebut, dikarenakan dapat memicu penyebaran virus corona. sekian terimakasih.

tertanda,
warga jatibening indah komp. a.l,
pondok gede, bekasi.",Kecamatan Pondok Gede,  Karantina Wilayah
7,"Rumah saya kebanjiran terus udah 1 bulan, Kades Jejalen Jaya Kec. Tambun Utara sama sekali tidak ada tindakan cepat untuk membenahi gorong-gorong saluran air. Ketua Rt 003/003 Tambun Utara pun sama sekali tidak cepat tanggap. Saya heran tinggal disini petinggi-petingginya kalau tidak ada uang lama sekali di prosesnya. Orang kesiksa kebanjiran kaya gini, tidak ngerti lagi harus mengadu sama siapa, orang petinggi RT sampai Kades pun lama respon orang kebanjiran !!!!","Dinas Perumahan Rakyat, Kawasan Permukiman dan Pertanahan Kabupaten Bekasi","  Lainnya terkait Ketenteraman, Ketertiban Umum, dan Pelindungan Masyarakat"
8,"Selamat Siang,

Perkenalkan saya dengan Winda salah satu warga di Perumahan Kemala Mandevilla No.23 Blok A Bekasi Tanah Tinggi dengan ini saya melaporkan atas lepasnya tanggung jawab Developer terhadap para warga perumahan atas terjadi banjir yang ada. Mengingat sebelumnya kami di infokan bahwa perumahan ini Tidak Banjir, namun kenyataanya hujan kecil maupun besar terus banjir. Kami sebagai customer merasa di rugikan kami bisa lihat di perumahan yang tidak jauh dari lokasi ini tidak pernah terkena banjir karena bangungan perumahan yang cukup tinggi dibandung perumahan Kemala Mandevila. Dari pihak pengembang sudah tidak ada Feedback mengenai hal ini kami hubungi sudah tidak ada respon .
Nama Pengembang : PT.PROPERTINDO JAYA BERSAMA

Winda Lestari 0896-2794-3308

Terima kasih
Winda","Dinas Perumahan Rakyat, Kawasan Permukiman dan Pertanahan Kabupaten Bekasi","  Lainnya terkait Pembangunan Desa, Daerah Tertinggal, dan Transmigrasi"
